回答者ID,レビュー,製品,年齢,性別
1,小さい、軽い,その他,25～34歳,女性
2,バッテリーが長持ちする。,製品 E,35～44歳,男性
3,コストとサイズ,その他,25～34歳,女性
4,すべてのCDを手のひらの中に持てること!,製品 A,35～44歳,女性
5,シャッフルモード。,製品 A,35～44歳,男性
6,バッテリーの寿命。携帯性。アクセサリー。スタイル。,製品 A,25～34歳,男性
7,自分の音楽のすべてを保存できる機能が好きです。プレイリストを作れる機能も気に入っています。,製品 A,35～44歳,男性
8,携帯性、キャパシティー、音質、耐久性,その他,35～44歳,男性
9,小型、大きな音、キャパシティー。,製品 A,25～34歳,女性
10,一ヶ所に自分の歌のすべてを入れることができる。,製品 A,35～44歳,男性
11,携帯性！どこにでも持っていくことができます。,製品 A,45～54歳,男性
12,自分自身の小さな世界に住んでいること,製品 A,35～44歳,男性
13,可動性,製品 A,35～44歳,女性
14,多くの記憶装置を持っている製品Aが好きです。インターフェースもとても使いやすいです。,製品 A,25～34歳,女性
15,大量の音楽が入ります。,製品 A,25～34歳,男性
16,使っていて面白いです,製品 A,45～54歳,女性
17,おシャレ,製品 A,35～44歳,男性
18,たくさんのディスク容量,製品 A,25～34歳,女性
19,他の人は、これがシャレていると思うし、素晴らしいサウンド。,製品 B,18歳以下,女性
20,軽量,製品 A,45～54歳,女性
21,使いやすい。,製品 D,25～34歳,女性
22,素晴らしい付属品,製品 A,45～54歳,男性
23,好きなところで自分の音楽を聴くことができます。また、dropable /耐久性であることが好きです。,製品 A,25～34歳,女性
24,はるかに高い忠実性のある無劣化圧縮を標準サポートしています。,その他,54歳以上,女性
25,とても小さくて、多くの曲が入る,製品 C,18～24歳,女性
26,素晴らしい。友人と音楽を共有できるし、インターネットから大量の曲をダウンローできます。,製品 A,18～24歳,女性
27,誰からも自分の活動を妨げられることなく、古いルートヴィヒ・ヴァンを聞くことができます。,製品 A,25～34歳,男性
28,自分の全CDのために、多くのディスク・スペースを提供している。,製品 A,18～24歳,男性
29,常に手元に音楽の良いコレクションを持っていること,製品 A,25～34歳,男性
30,携帯できるし、機器は良くデザインされている。,製品 A,25～34歳,女性
31,携帯できるので、牛の乳を搾ったり畑で働いている間も、音楽を聞くことができる。,製品 B,54歳以上,女性
32,自分の音楽をすべてコントロールできる。,その他,35～44歳,女性
33,自動車に多くのCDを持っているよりも良い。ステレオにこれをつなぎ、多くの曲を得ることができる。,製品 A,45～54歳,男性
34,プレイリストを構築できるのが、最高の機能です。自分の選択をミックスし、マッチさせたい時があります。,その他,45～54歳,男性
35,小さい、同期するのが簡単,製品 A,25～34歳,女性
36,素晴らしい音質です。自分のすべての音楽に対応できています。,製品 A,45～54歳,男性
37,たくさんの音楽が入る,製品 A,18～24歳,男性
38,長い時間続く電池,製品 E,35～44歳,女性
39,音楽をダウンロードし、充電せずに長い時間、実行するのは簡単。,製品 A,45～54歳,男性
40,どこでも曲,製品 A,18歳以下,女性
41,使い方が簡単。,製品 A,25～34歳,女性
42,インターフェースは信じられないほど使いやすい。,製品 A,25～34歳,男性
43,多くの曲が入る,製品 A,54歳以上,男性
44,実際には、さほど素晴らしくはない。これが特に好きなのは、製品Aでないということなのです!,製品 E,35～44歳,男性
45,すべて！製品Aのルール！ビデオを待つことができない！,製品 A,18～24歳,男性
46,小さくて軽量の機器で、音楽を大量に運ぶ能力。,製品 A,25～34歳,女性
